Chart,Sport,League,Division,Conference,School
Sports,Basketball,NCAA,Division II,RMAC,Colorado Mesa
Sports,Basketball,NCAA,Division II,RMAC,Colorado Mines
Sports,Basketball,NCAA,Division II,RMAC,CSU Pueblo
Sports,Basketball,NCAA,Division II,RMAC,Fort Lewis
Sports,Basketball,NCAA,Division II,RMAC,Metropolitan State
Sports,Basketball,NCAA,Division II,RMAC,New Mexico Highlands
Sports,Basketball,NCAA,Division II,RMAC,Regis
Sports,Basketball,NCAA,Division II,RMAC,South Dakota Mines
Sports,Basketball,NCAA,Division II,RMAC,UCCS (UC Colorado Springs)
Sports,Basketball,NCAA,Division II,RMAC,Western Colorado
Sports,Basketball,NCAA,Division II,RMAC,Westminster
Sports,Basketball,NCAA,Division II,SAC,Anderson
Sports,Basketball,NCAA,Division II,SAC,Carson–Newman
Sports,Basketball,NCAA,Division II,SAC,Catawba
Sports,Basketball,NCAA,Division II,SAC,Coker
Sports,Basketball,NCAA,Division II,SAC,Emory & Henry
Sports,Basketball,NCAA,Division II,SAC,Lenoir–Rhyne
Sports,Basketball,NCAA,Division II,SAC,Limestone
Sports,Basketball,NCAA,Division II,SAC,Lincoln Memorial
Sports,Basketball,NCAA,Division II,SAC,Mars Hill
Sports,Basketball,NCAA,Division II,SAC,Newberry
Sports,Basketball,NCAA,Division II,SAC,Tusculum
Sports,Basketball,NCAA,Division II,SAC,UVA Wise
Sports,Basketball,NCAA,Division II,SAC,Wingate
Sports,Basketball,NCAA,Division II,SIAC,Albany State
Sports,Basketball,NCAA,Division II,SIAC,Allen
Sports,Basketball,NCAA,Division II,SIAC,Benedict
Sports,Basketball,NCAA,Division II,SIAC,Central State
Sports,Basketball,NCAA,Division II,SIAC,Clark Atlanta
Sports,Basketball,NCAA,Division II,SIAC,Edward Waters
Sports,Basketball,NCAA,Division II,SIAC,Fort Valley State
Sports,Basketball,NCAA,Division II,SIAC,Kentucky State
Sports,Basketball,NCAA,Division II,SIAC,Lane
Sports,Basketball,NCAA,Division II,SIAC,LeMoyne–Owen
Sports,Basketball,NCAA,Division II,SIAC,Miles
Sports,Basketball,NCAA,Division II,SIAC,Morehouse
Sports,Basketball,NCAA,Division II,SIAC,Savannah State
Sports,Basketball,NCAA,Division II,SIAC,Spring Hill
Sports,Basketball,NCAA,Division II,SIAC,Tuskegee
Sports,Basketball,NCAA,Division II,Sunshine State,Barry
Sports,Basketball,NCAA,Division II,Sunshine State,Eckerd
Sports,Basketball,NCAA,Division II,Sunshine State,Embry–Riddle
Sports,Basketball,NCAA,Division II,Sunshine State,Florida Southern
Sports,Basketball,NCAA,Division II,Sunshine State,Florida Tech
Sports,Basketball,NCAA,Division II,Sunshine State,Lynn
Sports,Basketball,NCAA,Division II,Sunshine State,Nova Southeastern
Sports,Basketball,NCAA,Division II,Sunshine State,Palm Beach Atlantic
Sports,Basketball,NCAA,Division II,Sunshine State,Rollins
Sports,Basketball,NCAA,Division II,Sunshine State,Saint Leo
Sports,Basketball,NCAA,Division II,Sunshine State,Tampa
