Chart,Sport,League,Division,Conference,School
Sports,Basketball,NCAA,Division I,Horizon League,Purdue University Fort Wayne (Purdue Fort Wayne)
Sports,Basketball,NCAA,Division I,Horizon League,Robert Morris University
Sports,Basketball,NCAA,Division I,Horizon League,University of Wisconsin–Green Bay (Green Bay)
Sports,Basketball,NCAA,Division I,Horizon League,Wright State University
Sports,Basketball,NCAA,Division I,Horizon League,Youngstown State University
Sports,Basketball,NCAA,Division I,Ivy League,Brown University
Sports,Basketball,NCAA,Division I,Ivy League,Columbia University
Sports,Basketball,NCAA,Division I,Ivy League,Cornell University
Sports,Basketball,NCAA,Division I,Ivy League,Dartmouth College
Sports,Basketball,NCAA,Division I,Ivy League,Harvard University
Sports,Basketball,NCAA,Division I,Ivy League,University of Pennsylvania (Penn)
Sports,Basketball,NCAA,Division I,Ivy League,Princeton University
Sports,Basketball,NCAA,Division I,Ivy League,Yale University
Sports,Basketball,NCAA,Division I,MAAC,Canisius University
Sports,Basketball,NCAA,Division I,MAAC,Fairfield University
Sports,Basketball,NCAA,Division I,MAAC,Iona University
Sports,Basketball,NCAA,Division I,MAAC,Manhattan University
Sports,Basketball,NCAA,Division I,MAAC,Marist College
Sports,Basketball,NCAA,Division I,MAAC,Merrimack College
Sports,Basketball,NCAA,Division I,MAAC,Mount St. Mary's University
Sports,Basketball,NCAA,Division I,MAAC,Niagara University
Sports,Basketball,NCAA,Division I,MAAC,Quinnipiac University
Sports,Basketball,NCAA,Division I,MAAC,Rider University
Sports,Basketball,NCAA,Division I,MAAC,Sacred Heart University
Sports,Basketball,NCAA,Division I,MAAC,Saint Peter's University
Sports,Basketball,NCAA,Division I,MAAC,Siena College
Sports,Basketball,NCAA,Division I,MAC,University of Akron
Sports,Basketball,NCAA,Division I,MAC,Ball State University
Sports,Basketball,NCAA,Division I,MAC,Bowling Green State University (Bowling Green)
Sports,Basketball,NCAA,Division I,MAC,University at Buffalo
Sports,Basketball,NCAA,Division I,MAC,Central Michigan University
Sports,Basketball,NCAA,Division I,MAC,Eastern Michigan University
