Chart,Sport,League,Division,Conference,School
Sports,Basketball,NCAA,Division III,Massachusetts State Collegiate Athletic Conference,Framingham State University
Sports,Basketball,NCAA,Division III,Massachusetts State Collegiate Athletic Conference,Massachusetts College of Liberal Arts
Sports,Basketball,NCAA,Division III,Massachusetts State Collegiate Athletic Conference,Massachusetts Maritime Academy[A 14]
Sports,Basketball,NCAA,Division III,Massachusetts State Collegiate Athletic Conference,Salem State University
Sports,Basketball,NCAA,Division III,Massachusetts State Collegiate Athletic Conference,Westfield State University
Sports,Basketball,NCAA,Division III,Massachusetts State Collegiate Athletic Conference,Worcester State University
Sports,Basketball,NCAA,Division III,Michigan Intercollegiate Athletic Association,Adrian College
Sports,Basketball,NCAA,Division III,Michigan Intercollegiate Athletic Association,Albion College
Sports,Basketball,NCAA,Division III,Michigan Intercollegiate Athletic Association,Alma College
Sports,Basketball,NCAA,Division III,Michigan Intercollegiate Athletic Association,Calvin University
Sports,Basketball,NCAA,Division III,Michigan Intercollegiate Athletic Association,Hope College
Sports,Basketball,NCAA,Division III,Michigan Intercollegiate Athletic Association,Kalamazoo College
Sports,Basketball,NCAA,Division III,Michigan Intercollegiate Athletic Association,University of Olivet
Sports,Basketball,NCAA,Division III,Michigan Intercollegiate Athletic Association,Saint Mary's College[A 1]
Sports,Basketball,NCAA,Division III,Michigan Intercollegiate Athletic Association,Trine University
Sports,Basketball,NCAA,Division III,Midwest Conference,Beloit College
Sports,Basketball,NCAA,Division III,Midwest Conference,Cornell College
Sports,Basketball,NCAA,Division III,Midwest Conference,Grinnell College
Sports,Basketball,NCAA,Division III,Midwest Conference,Illinois College
Sports,Basketball,NCAA,Division III,Midwest Conference,Knox College
Sports,Basketball,NCAA,Division III,Midwest Conference,Lake Forest College
Sports,Basketball,NCAA,Division III,Midwest Conference,Lawrence University
Sports,Basketball,NCAA,Division III,Midwest Conference,Monmouth College
Sports,Basketball,NCAA,Division III,Midwest Conference,Ripon College
