Division,Conference,School
Division III,North Coast Athletic Conference,Ohio Wesleyan University
Division III,North Coast Athletic Conference,Wabash College[A 11]
Division III,North Coast Athletic Conference,Wittenberg University
Division III,North Coast Athletic Conference,College of Wooster
Division III,North Coast Athletic Conference,Hiram College
Division III,Northern Athletics Collegiate Conference,Alverno College[A 1]
Division III,Northern Athletics Collegiate Conference,Aurora University
Division III,Northern Athletics Collegiate Conference,Benedictine University
Division III,Northern Athletics Collegiate Conference,Concordia University Chicago
Division III,Northern Athletics Collegiate Conference,Concordia University Wisconsin
Division III,Northern Athletics Collegiate Conference,Dominican University
Division III,Northern Athletics Collegiate Conference,Edgewood College
Division III,Northern Athletics Collegiate Conference,Illinois Institute of Technology
Division III,Northern Athletics Collegiate Conference,Lakeland University
Division III,Northern Athletics Collegiate Conference,Marian University
Division III,Northern Athletics Collegiate Conference,Milwaukee School of Engineering
Division III,Northern Athletics Collegiate Conference,Rockford University
Division III,Northern Athletics Collegiate Conference,St. Norbert College
Division III,Northern Athletics Collegiate Conference,Wisconsin Lutheran College
Division III,Northwest Conference,George Fox University
Division III,Northwest Conference,Lewis & Clark College
Division III,Northwest Conference,Linfield University
Division III,Northwest Conference,Pacific Lutheran University
Division III,Northwest Conference,Pacific University
Division III,Northwest Conference,University of Puget Sound
Division III,Northwest Conference,Whitman College
Division III,Northwest Conference,Whitworth University
Division III,Northwest Conference,Willamette University
Division III,Ohio Athletic Conference,Baldwin Wallace University
Division III,Ohio Athletic Conference,Capital University
Division III,Ohio Athletic Conference,Heidelberg University
Division III,Ohio Athletic Conference,Marietta College
Division III,Ohio Athletic Conference,University of Mount Union
Division III,Ohio Athletic Conference,Muskingum University
Division III,Ohio Athletic Conference,Ohio Northern University
Division III,Ohio Athletic Conference,Otterbein University
Division III,Ohio Athletic Conference,Wilmington College
Division III,Ohio Athletic Conference,John Carroll University
Division III,Old Dominion Athletic Conference,Averett University
Division III,Old Dominion Athletic Conference,Bridgewater College
Division III,Old Dominion Athletic Conference,Eastern Mennonite University
Division III,Old Dominion Athletic Conference,Ferrum College[a]
Division III,Old Dominion Athletic Conference,Guilford College
Division III,Old Dominion Athletic Conference,Hampden–Sydney College
Division III,Old Dominion Athletic Conference,Hollins University[A 1]
Division III,Old Dominion Athletic Conference,University of Lynchburg
Division III,Old Dominion Athletic Conference,Randolph College
Division III,Old Dominion Athletic Conference,Randolph–Macon College
Division III,Old Dominion Athletic Conference,Roanoke College
Division III,Old Dominion Athletic Conference,Shenandoah University
Division III,Old Dominion Athletic Conference,Sweet Briar College[A 1][A 14]
Division III,Old Dominion Athletic Conference,Virginia Wesleyan University
Division III,Old Dominion Athletic Conference,Washington and Lee University
Division III,Presidents' Athletic Conference,Allegheny College
Division III,Presidents' Athletic Conference,Bethany College
Division III,Presidents' Athletic Conference,Chatham University
Division III,Presidents' Athletic Conference,Franciscan University of Steubenville
Division III,Presidents' Athletic Conference,Geneva College
Division III,Presidents' Athletic Conference,Grove City College
Division III,Presidents' Athletic Conference,Saint Vincent College
Division III,Presidents' Athletic Conference,Thiel College
Division III,Presidents' Athletic Conference,Washington & Jefferson College
Division III,Presidents' Athletic Conference,Waynesburg University
Division III,Presidents' Athletic Conference,Westminster College
Division III,Skyline Conference,Farmingdale State College
Division III,Skyline Conference,Manhattanville University
Division III,Skyline Conference,Mount Saint Mary College
Division III,Skyline Conference,University of Mount Saint Vincent
Division III,Skyline Conference,State University of New York Maritime College
Division III,Skyline Conference,State University of New York at Old Westbury
Division III,Skyline Conference,State University of New York at Purchase
Division III,Skyline Conference,St. Joseph's University
Division III,Skyline Conference,St. Joseph's University
Division III,Skyline Conference,Sarah Lawrence College
Division III,Skyline Conference,United States Merchant Marine Academy
Division III,Skyline Conference,Yeshiva University
Division III,Southern Athletic Association,Berry College
Division III,Southern Athletic Association,Centre College
Division III,Southern Athletic Association,Millsaps College
Division III,Southern Athletic Association,Oglethorpe University
Division III,Southern Athletic Association,Rhodes College
Division III,Southern Athletic Association,University of the South[A 20]
Division III,Southern Athletic Association,Hendrix College
Division III,Southern California Intercollegiate Athletic Conference,California Institute of Technology
Division III,Southern California Intercollegiate Athletic Conference,California Lutheran University
Division III,Southern California Intercollegiate Athletic Conference,Chapman University
Division III,Southern California Intercollegiate Athletic Conference,"Claremont McKenna College, Harvey Mudd College, and Scripps College[A 3]"
Division III,Southern California Intercollegiate Athletic Conference,University of La Verne
Division III,Southern California Intercollegiate Athletic Conference,Occidental College
Division III,Southern California Intercollegiate Athletic Conference,Pomona College and Pitzer College
Division III,Southern California Intercollegiate Athletic Conference,University of Redlands
Division III,Southern California Intercollegiate Athletic Conference,Whittier College
Division III,Southern Collegiate Athletic Conference,Austin College
Division III,Southern Collegiate Athletic Conference,Centenary College of Louisiana
Division III,Southern Collegiate Athletic Conference,Colorado College
Division III,Southern Collegiate Athletic Conference,Concordia University Texas
Division III,Southern Collegiate Athletic Conference,University of Dallas
Division III,Southern Collegiate Athletic Conference,University of the Ozarks
Division III,Southern Collegiate Athletic Conference,University of St. Thomas (Texas)
Division III,Southern Collegiate Athletic Conference,Texas Lutheran University
Division III,Southern Collegiate Athletic Conference,McMurry University
Division III,Southern Collegiate Athletic Conference,Schreiner University
Division III,Southern Collegiate Athletic Conference,Southwestern University
Division III,Southern Collegiate Athletic Conference,Trinity University
Division III,St. Louis Intercollegiate Athletic Conference,Blackburn College
Division III,St. Louis Intercollegiate Athletic Conference,Eureka College
Division III,St. Louis Intercollegiate Athletic Conference,Fontbonne University
Division III,St. Louis Intercollegiate Athletic Conference,Greenville University
Division III,St. Louis Intercollegiate Athletic Conference,Lyon College
Division III,St. Louis Intercollegiate Athletic Conference,Mississippi University for Women
Division III,St. Louis Intercollegiate Athletic Conference,Principia College
Division III,St. Louis Intercollegiate Athletic Conference,Spalding University
Division III,St. Louis Intercollegiate Athletic Conference,Webster University
Division III,St. Louis Intercollegiate Athletic Conference,Westminster College
Division III,State University of New York Athletic Conference,Buffalo State University
Division III,State University of New York Athletic Conference,State University of New York at Canton
Division III,State University of New York Athletic Conference,State University of New York at Cortland
Division III,State University of New York Athletic Conference,State University of New York at Fredonia
Division III,State University of New York Athletic Conference,State University of New York at Morrisville
Division III,State University of New York Athletic Conference,State University of New York at Oneonta
Division III,State University of New York Athletic Conference,State University of New York at Oswego
Division III,State University of New York Athletic Conference,State University of New York at Plattsburgh
Division III,State University of New York Athletic Conference,State University of New York at Potsdam
Division III,State University of New York Athletic Conference,State University of New York at New Paltz
Division III,United East Conference,Bryn Athyn College
Division III,United East Conference,Cairn University
Division III,United East Conference,Cedar Crest College
Division III,United East Conference,Gallaudet University
Division III,United East Conference,Keystone College
Division III,United East Conference,Lancaster Bible College
Division III,United East Conference,Notre Dame of Maryland University
Division III,United East Conference,Pennsylvania College of Technology
Division III,United East Conference,"Pennsylvania State University, Abington"
Division III,United East Conference,"Pennsylvania State University, Berks College"
Division III,United East Conference,"Pennsylvania State University, Brandywine"
Division III,United East Conference,"Pennsylvania State University, Harrisburg"
Division III,United East Conference,Rosemont College
Division III,United East Conference,Saint Elizabeth University
Division III,United East Conference,St. Mary's College of Maryland
Division III,United East Conference,University of Valley Forge
Division III,United East Conference,Wilson College
Division III,University Athletic Association,Brandeis University
Division III,University Athletic Association,Carnegie Mellon University
Division III,University Athletic Association,Case Western Reserve University
Division III,University Athletic Association,University of Chicago
Division III,University Athletic Association,Emory University
Division III,University Athletic Association,New York University
Division III,University Athletic Association,University of Rochester
Division III,University Athletic Association,Washington University in St. Louis
Division III,Upper Midwest Athletic Conference,Bethany Lutheran College
Division III,Upper Midwest Athletic Conference,Crown College
Division III,Upper Midwest Athletic Conference,Martin Luther College
Division III,Upper Midwest Athletic Conference,University of Minnesota Morris
Division III,Upper Midwest Athletic Conference,North Central University
Division III,Upper Midwest Athletic Conference,Northland College[d]
Division III,Upper Midwest Athletic Conference,University of Northwestern - St. Paul
Division III,Upper Midwest Athletic Conference,University of Wisconsin–Superior
Division III,USA South Athletic Conference,Brevard College
Division III,USA South Athletic Conference,Greensboro College
Division III,USA South Athletic Conference,Mary Baldwin University
Division III,USA South Athletic Conference,Meredith College
Division III,USA South Athletic Conference,Methodist University
Division III,USA South Athletic Conference,North Carolina Wesleyan University
Division III,USA South Athletic Conference,Pfeiffer University
Division III,USA South Athletic Conference,Salem College
Division III,USA South Athletic Conference,Southern Virginia University
Division III,USA South Athletic Conference,William Peace University
Division III,Wisconsin Intercollegiate Athletic Conference,University of Wisconsin–Eau Claire
Division III,Wisconsin Intercollegiate Athletic Conference,University of Wisconsin–La Crosse
Division III,Wisconsin Intercollegiate Athletic Conference,University of Wisconsin–Oshkosh
Division III,Wisconsin Intercollegiate Athletic Conference,University of Wisconsin–Platteville
Division III,Wisconsin Intercollegiate Athletic Conference,University of Wisconsin–River Falls
Division III,Wisconsin Intercollegiate Athletic Conference,University of Wisconsin–Stevens Point
Division III,Wisconsin Intercollegiate Athletic Conference,University of Wisconsin–Stout
Division III,Wisconsin Intercollegiate Athletic Conference,University of Wisconsin–Whitewater
